"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MLLT6",7.6946107557776e-55,0.638203573655771,0.151,0.1,4.22980447855851e-50
"BATF",7.70976204655583e-55,0.298523343539917,0.331,0.254,4.23813329461221e-50
"NUBP2",7.73872996102918e-55,0.505772223932002,0.168,0.113,4.25405724687735e-50
"ID1",8.00942038106142e-55,-2.41838255293876,0.01,0.045,4.40285847767327e-50
"GMFG",9.4595321793599e-55,0.232696769877283,0.555,0.475,5.19999943431593e-50
"ZNF652",1.06381498569784e-54,0.93421552571888,0.064,0.033,5.84789735787959e-50
"SLF1",1.07219678616633e-54,0.565034870344425,0.155,0.102,5.89397295323496e-50
"GOLGA3",1.0902472443639e-54,0.825400384573568,0.09,0.052,5.99319812699278e-50
"EIPR1",1.09282840971064e-54,0.923737212134804,0.065,0.034,6.00738705102036e-50
"NIPSNAP1",1.12430342236009e-54,0.675436864040702,0.098,0.057,6.18040834305567e-50
"CD3G",1.18391090003287e-54,0.32926635864518,0.587,0.527,6.5080766085707e-50
"EIF1AY",1.2442838481031e-54,0.707811838017036,0.14,0.091,6.83995274140757e-50
"COMMD1",1.39597320082347e-54,0.532853377509348,0.165,0.111,7.67380428224672e-50
"CNN2",1.48827914464032e-54,-0.397061717677778,0.399,0.478,8.18121928600231e-50
"POP5",1.51391440111027e-54,0.508074069090648,0.144,0.093,8.32213885434327e-50
"ZNF623",1.71258381483351e-54,1.20525634144189,0.037,0.015,9.4142444885213e-50
"VWA8",1.73904159364717e-54,0.856963240476663,0.07,0.037,9.55968554443784e-50
"DOCK10",1.82006767195271e-54,0.537074401948992,0.254,0.189,1.00050939994912e-49
"PARVG",1.9228910349714e-54,0.476853574835867,0.199,0.139,1.05703243083413e-49
"GTF3C3",1.96995500567444e-54,0.93785080626043,0.06,0.03,1.08290396616929e-49
"EBNA1BP2",2.06703418269818e-54,0.626267951130488,0.107,0.064,1.13626936057102e-49
"TSR2",2.14786765859541e-54,0.57169256851987,0.181,0.125,1.18070433060648e-49
"CH507-9B2.3",2.17434744851353e-54,1.67526308842285,0.018,0.005,1.19526053592237e-49
"FAM50A",2.24314590370972e-54,0.473330997865725,0.226,0.163,1.23307973472827e-49
"TCF12",2.32558902930442e-54,0.667979665726983,0.141,0.092,1.27839954529893e-49
"CBX3",2.32751889965762e-54,0.364168947032969,0.338,0.264,1.27946041433079e-49
"PHIP",2.45020179800631e-54,0.455152032557895,0.291,0.222,1.34690043038205e-49
"ZBTB1",2.49520629467513e-54,-0.549411151768093,0.183,0.255,1.37163985224587e-49
"SUPT3H",2.73924926580489e-54,0.446924438289545,0.195,0.136,1.50579271390561e-49
"AHCYL1",2.84643907423058e-54,0.94102075927618,0.066,0.035,1.56471602349529e-49
"ITFG2",3.30079824658058e-54,0.643546533136858,0.114,0.07,1.81448180412781e-49
"ARNTL",4.12536176004073e-54,0.653198231770253,0.144,0.094,2.26775261311199e-49
"GTPBP10",4.20071834833951e-54,0.82775536271339,0.078,0.043,2.30917688326571e-49
"ATP1B1",4.54669390185054e-54,-1.68902054654886,0.024,0.065,2.49936310478626e-49
"TRMT112",4.72676645627055e-54,0.236176349789822,0.609,0.535,2.59835078867649e-49
"SRSF11",5.521974639722e-54,0.310548689816041,0.506,0.429,3.03548467920158e-49
