"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GNAS",1.15315458682979e-07,0.352577511955284,0.547,0.511,0.00187906539923915,"Naive_like_2_SC","GNAS"
"DCAF6",1.15417166669984e-07,0.255287277852887,0.15,0.096,0.00188072273088738,"Naive_like_2_SC","DCAF6"
"DDX6",1.15868026506953e-07,0.340218678223457,0.443,0.388,0.0018880694919308,"Naive_like_2_SC","DDX6"
"NDEL1",1.2109467561162e-07,0.301884995294541,0.224,0.159,0.00197323773909135,"Naive_like_2_SC","NDEL1"
"IL6ST",1.22868845314361e-07,0.263199702680265,0.134,0.082,0.00200214783439751,"Naive_like_2_SC","IL6ST"
"BRIX1",1.23726790091291e-07,0.302835511832713,0.222,0.159,0.00201612804453758,"Naive_like_2_SC","BRIX1"
"BACH21",1.27743593506322e-07,0.266549299357423,0.241,0.175,0.00208158185618552,"Naive_like_2_SC","BACH2"
"DUSP11",1.28899881490906e-07,0.294325572963806,0.266,0.201,0.00210042356889431,"Naive_like_2_SC","DUSP11"
"IL4R1",1.34085044975824e-07,0.259640395788972,0.263,0.195,0.00218491580788105,"Naive_like_2_SC","IL4R"
"USP22",1.45116275434355e-07,0.310856340272312,0.218,0.156,0.00236466970820282,"Naive_like_2_SC","USP22"
"SNRNP27",1.46071066008083e-07,0.25172077522141,0.188,0.129,0.00238022802060171,"Naive_like_2_SC","SNRNP27"
"SCML4",1.60971962280279e-07,0.298157064094501,0.114,0.069,0.00262303812535715,"Naive_like_2_SC","SCML4"
"RAB8A",1.68084587455563e-07,0.29141509191399,0.358,0.29,0.00273893835258839,"Naive_like_2_SC","RAB8A"
"TMEM208",1.69572657147635e-07,0.25067263226941,0.352,0.279,0.00276318644822072,"Naive_like_2_SC","TMEM208"
"HSPA5",1.72991950056957e-07,0.373358523269925,0.525,0.469,0.00281890382617811,"Naive_like_2_SC","HSPA5"
"FLT3LG",1.75935789064468e-07,0.376000889519471,0.262,0.201,0.00286687368280551,"Naive_like_2_SC","FLT3LG"
"CCT6A",1.98354609965692e-07,0.301865996409087,0.442,0.388,0.00323218836939095,"Naive_like_2_SC","CCT6A"
"CDC14A",2.09336279590144e-07,0.307331949072989,0.156,0.103,0.00341113467592139,"Naive_like_2_SC","CDC14A"
"LINS1",2.35454820818248e-07,0.310379103919038,0.186,0.129,0.00383673630523336,"Naive_like_2_SC","LINS1"
"COX7B",2.4403826545027e-07,0.274925962239141,0.577,0.545,0.00397660353551215,"Naive_like_2_SC","COX7B"
"CCDC12",2.46880254319185e-07,0.27916372559546,0.416,0.346,0.00402291374413112,"Naive_like_2_SC","CCDC12"
