gene_symbol,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DE
CNP,2.93E-22,0.324061228,0.248,0.139,4.77E-18,up
ATF4,4.19E-25,-0.545242319,0.335,0.49,6.83E-21,down
APOL6,1.07E-14,0.322895989,0.277,0.186,1.75E-10,up
XRN1,6.70E-14,0.322183051,0.317,0.222,1.09E-09,up
RPL13,9.89E-66,0.318609858,1,0.996,1.61E-61,up
MKRN1,1.39E-11,0.317709916,0.299,0.218,2.26E-07,up
KDM6B,2.13E-24,-0.657389367,0.185,0.329,3.46E-20,down
FURIN,2.26E-24,-0.541524254,0.066,0.188,3.68E-20,down
LINC00861,1.11E-22,0.315252885,0.16,0.074,1.80E-18,up
FAAH2,4.85E-33,0.315117195,0.139,0.049,7.91E-29,up
CD28,5.12E-22,0.315042772,0.296,0.174,8.35E-18,up
CD226,5.08E-24,-0.459881375,0.045,0.159,8.27E-20,down
RIPOR2,2.15E-18,0.313848941,0.401,0.274,3.51E-14,up
DENND2D,1.45E-13,0.310989027,0.237,0.154,2.37E-09,up
ID2,9.46E-24,-0.648005048,0.272,0.419,1.54E-19,down
DGLUCY,1.06E-23,0.309332433,0.143,0.062,1.72E-19,up
CTSS,9.00E-19,0.305443801,0.254,0.152,1.47E-14,up
RPLP2,8.82E-60,0.305196276,0.998,0.99,1.44E-55,up
NAMPT,1.86E-23,-0.721659376,0.206,0.341,3.03E-19,down
RPS28,4.28E-51,0.305152831,1,0.982,6.98E-47,up
TRIM38,1.68E-16,0.30450438,0.243,0.15,2.74E-12,up
HLA-DRB5,5.12E-23,-0.694180307,0.174,0.31,8.35E-19,down
FBXO6,8.99E-26,0.303557953,0.143,0.06,1.46E-21,up
RPL30,1.52E-63,0.302746735,1,0.994,2.48E-59,up
VAMP5,4.42E-13,0.294437412,0.272,0.185,7.20E-09,up
TNFRSF14,5.81E-15,0.293766351,0.314,0.217,9.46E-11,up
RIN3,1.79E-22,-0.472220944,0.064,0.181,2.91E-18,down
RDH10,1.97E-22,-0.550302622,0.023,0.121,3.21E-18,down
PRMT2,7.50E-17,0.293260682,0.513,0.39,1.22E-12,up
LINC02446,2.77E-22,-0.691161894,0.103,0.228,4.51E-18,down
RPS14,1.01E-59,0.291812788,1,0.994,1.65E-55,up
TMSB10,9.47E-37,0.291090374,0.982,0.943,1.54E-32,up
IRF2,4.94E-18,0.290590757,0.412,0.292,8.05E-14,up
RNASET2,2.02E-13,0.290299225,0.266,0.18,3.28E-09,up
SYTL3,5.15E-22,-0.548749726,0.221,0.359,8.39E-18,down
PLP2,3.95E-19,0.290063806,0.842,0.758,6.44E-15,up
TINF2,1.08E-13,0.289217065,0.378,0.283,1.76E-09,up
UBA7,2.21E-27,0.288679126,0.124,0.046,3.60E-23,up
TBCD,4.29E-12,0.288436518,0.291,0.204,7.00E-08,up
ANXA2R,3.26E-22,0.283241358,0.176,0.086,5.31E-18,up
RAB8B,9.73E-22,-0.469118993,0.113,0.242,1.59E-17,down
SPRY1,9.80E-22,-0.465883153,0.017,0.108,1.60E-17,down
RPS27,1.74E-52,0.28222844,1,0.997,2.83E-48,up
SNRPB,1.36E-21,-0.36474389,0.572,0.685,2.22E-17,down
CMTM7,3.35E-12,0.282070723,0.254,0.169,5.45E-08,up
MAST4,2.69E-21,-0.445222686,0.052,0.159,4.39E-17,down
ATP8B4,3.94E-21,-0.40010764,0.017,0.107,6.42E-17,down
AP3S1,1.03E-09,0.281826024,0.378,0.306,1.67E-05,up
EEF1A1,1.67E-60,0.281650343,1,0.998,2.72E-56,up
TMEM109,9.72E-12,0.281171807,0.336,0.25,1.58E-07,up
TMX1,2.51E-15,0.281076704,0.31,0.212,4.08E-11,up
MYCBP2,1.62E-11,0.280414433,0.327,0.241,2.63E-07,up
TRAFD1,7.68E-14,0.279295612,0.215,0.135,1.25E-09,up
CD53,5.16E-14,0.277903765,0.764,0.701,8.42E-10,up
SOX4,2.14E-20,-0.658694168,0.012,0.096,3.49E-16,down
CXCR5,8.67E-19,0.276877497,0.08,0.029,1.41E-14,up
BHLHE40,2.94E-20,-0.555117127,0.16,0.286,4.79E-16,down
EIF1AX,3.05E-20,-0.442510864,0.314,0.446,4.97E-16,down
