"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"383","CYBA",5.8809664203932e-22,-0.449394046432408,0.724,0.871,9.58303478203071e-18
"384","RPL36A",6.15277604442953e-22,0.545581508205151,0.662,0.488,1.00259485643979e-17
"385","AIP",6.63770918649959e-22,-0.569373671301162,0.354,0.542,1.08161471194011e-17
"386","PDE7B",7.77988648768119e-22,-0.348917284693272,0.005,0.1,1.26773250316765e-17
"387","PLSCR1",8.46416000357065e-22,-0.552644617131459,0.313,0.534,1.37923487258184e-17
"388","FKBP4",8.93589257174775e-22,0.593759157878343,0.404,0.193,1.4561036945663e-17
"389","SH3BGRL3",1.00898306375342e-21,-0.418937943454195,0.946,0.979,1.6441379023862e-17
"390","HCST",1.07678383629668e-21,-0.56247636116376,0.52,0.695,1.75461926124545e-17
"391","SGK1",1.25328551452758e-21,-0.578874019990319,0.162,0.355,2.0422287459227e-17
"392","RBM3",1.55998373411528e-21,0.489124660136449,0.852,0.741,2.54199349474085e-17
"393","AC022075.1",2.34235521237944e-21,-0.565896869597059,0.02,0.135,3.8168678185723e-17
"394","WIPF1",2.59655789579266e-21,-0.436025324782041,0.532,0.725,4.23109109119414e-17
"395","H3F3A",3.39493315327719e-21,-0.336218972274661,0.967,0.982,5.53204357326518e-17
"396","IQGAP1",3.47012319705623e-21,-0.503621046604226,0.488,0.676,5.65456574960312e-17
"397","NEDD9",3.58616650842656e-21,-0.566029835708836,0.189,0.377,5.84365832548108e-17
"398","UBXN4",3.73460077489192e-21,-0.482950001510086,0.6,0.762,6.08553196268638e-17
"399","IL2",3.89269153743765e-21,3.80915749895734,0.132,0.007,6.34314086025465e-17
"400","TAP1",4.22132057143172e-21,-0.436462490805667,0.661,0.821,6.87864187114798e-17
"401","PHTF2",4.23850436609887e-21,-0.428642393313669,0.058,0.206,6.9066428645581e-17
"402","MT-ND4L",4.28096084824595e-21,0.356123543089991,0.987,0.987,6.97582570221678e-17
"403","RAP1B",4.51280546818292e-21,-0.49824193335358,0.805,0.872,7.35361651040407e-17
"404","SH3BGRL",4.55207035884288e-21,-0.44089186282927,0.18,0.377,7.41759864973447e-17
"405","NCF4",5.78318000577479e-21,-0.392250391693463,0.025,0.143,9.42369181941002e-17
"406","CYBC1",6.25595690066841e-21,-0.511358232846994,0.178,0.363,1.01940817696392e-16
"407","CYLD",6.66238188982278e-21,-0.628370649289226,0.343,0.533,1.08563512894662e-16
"408","NDUFAF4",6.87256004095422e-21,0.547564410556825,0.429,0.227,1.11988365867349e-16
"409","JARID2",7.3141015841741e-21,-0.57756801474529,0.345,0.555,1.19183285314117e-16
"410","LDHA",7.9867450589038e-21,0.512582592308851,0.909,0.883,1.30144010734837e-16
"411","TSPAN5",8.49790397666581e-21,-0.506657414799865,0.123,0.293,1.38473345299769e-16
"412","STX10",9.72114828972103e-21,-0.526891273589476,0.191,0.374,1.58406111381004e-16
"413","IFNG",1.10305179251927e-20,0.949543217550956,0.582,0.88,1.79742289591015e-16
"414","ARMCX6",1.2060230491348e-20,-0.492218767870485,0.113,0.285,1.96521455856515e-16
